usa_paraula_base,usa_es_minusc,usa_inici_majusc,usa_es_majusc,usa_es_digit,usa_te_digit,usa_es_alfanumeric,usa_puntuacio,usa_simbol,usa_longitud,usa_forma,usa_forma_curta,usa_afixos,usa_postag,usa_lema,usa_context_bigrama_postag,usa_inici_final,usa_gasetes,usa_context_paraula,usa_context_postag,F1_Parcial
True,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.7808219178082193
True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,True,2,1,0.7822969319384037
True,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,2,1,0.782271337879144
True,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,True,2,1,0.7827926657263752
True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,2,1,0.7824499411071849
True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7852356882567297
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,True,2,1,0.7776598254305259
True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,2,1,0.7830332980350629
True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7841591149817583
True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7862093269117819
True,True,False,False,True,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7852594339622642
True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7850511223410507
True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7860830790894157
True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,2,1,0.7845394736842106
True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,2,1,0.7841591149817583
True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,True,2,1,0.7793979303857008
True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,2,1,0.7836979534227242
True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7841389019239793
True,True,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.786176090278594
True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7853366231935143
True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,False,True,2,1,0.7854460093896714
True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,2,1,0.7854374633000586
True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,2,1,0.7853113983548767
True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,2,1,0.7769691278319052
True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,2,1,0.7838599788558677
